,PLAYER,MINS-PLAYED,SHOTS,SOT,GOALS,XG,CHANCES-CREATED,ASSISTS,XA,PASSES,PASS-%,TACKLES-WON,INT,REC,SHOT-ENDING,GOAL-ENDING,CHANCE-CREATING,ASSIST,TOTAL,ATTEMPTS,WIN-%
0,AARON MOOY,360,1,0,0,0.05,0,0,0.07,204,81,6,3,35,0,0,0,0,0,4,50
1,AARON RAMSEY,267,1,0,0,0.04,1,0,0.06,98,80,0,0,19,0,0,1,0,1,8,25
2,ABDELHAMID SABIRI,133,3,0,0,0.16,2,0,0.01,45,73,0,5,5,0,0,0,0,0,0,0
3,ABDELKARIM HASSAN,270,6,0,0,0.30,1,0,0.05,142,77,3,1,11,2,0,0,0,2,5,20
4,ABDERRAZAK HAMDALLAH,40,1,1,0,0.06,0,0,0.01,9,67,0,0,1,0,0,0,0,0,0,0
5,ABDESSAMAD EZZALZOULI,79,0,0,0,0.00,1,0,0.14,8,75,2,0,4,0,0,0,0,0,2,0
6,ABDOU DIALLO,332,1,0,0,0.03,1,0,0.05,162,78,2,1,17,0,0,0,0,0,1,0
7,ABDUL RAHMAN BABA,182,0,0,0,0.00,3,0,0.08,67,69,3,1,6,0,0,0,0,0,5,20
8,ABDULAZIZ HATEM,196,1,1,0,0.02,0,0,0.02,84,80,1,1,4,1,0,0,0,1,1,100
9,ABDULELAH AL AMRI,182,1,0,0,0.07,0,0,0.03,98,72,0,4,15,0,0,0,0,0,0,0
10,ABDULELAH AL MALKI,175,2,0,0,0.12,0,0,0.03,77,78,1,2,9,0,0,0,0,0,0,0
11,ABDULLAH MADU,45,0,0,0,0.00,0,0,0.00,12,42,0,0,2,0,0,0,0,0,0,0
12,ABDULRAHMAN AL OBUD,33,1,0,0,0.07,1,0,0.02,11,73,3,0,1,0,0,0,0,0,4,0
13,ABOLFAZL JALALI,18,0,0,0,0.00,0,0,0.00,19,68,0,0,3,0,0,0,0,0,5,20
14,ACHRAF HAKIMI,363,3,1,0,0.10,3,1,0.41,148,83,11,6,21,1,0,0,0,1,6,16
15,ADRIEN RABIOT,297,7,2,1,0.91,3,1,0.44,181,88,8,5,15,0,0,1,1,2,4,25
16,AGUSTÍN CANOBBIO,10,0,0,0,0.00,0,0,0.00,7,71,1,0,2,0,0,0,0,0,1,0
17,AHMAD NOOROLLAHI,226,5,1,0,0.10,0,0,0.01,49,69,3,6,15,0,0,0,0,0,3,33
18,AHMED ALAA,5,0,0,0,0.00,0,0,0.00,2,0,0,0,0,0,0,0,0,0,0,0
19,AJDIN HRUSTIC,59,1,0,0,0.03,0,0,0.01,18,83,0,1,3,0,0,0,0,0,5,20
20,AKRAM AFIF,270,2,0,0,0.04,4,0,0.18,138,89,0,0,14,1,0,1,0,2,7,42
21,ALAN FRANCO,46,0,0,0,0.00,0,0,0.00,11,91,0,2,1,0,0,0,0,0,0,0
22,ALEKSANDAR MITROVIC,263,10,3,2,1.65,2,0,0.06,56,77,0,0,6,1,0,0,0,1,1,100
23,ALEX SANDRO,176,1,0,0,0.03,1,0,0.22,136,91,3,3,16,1,0,0,0,1,2,50
24,ALEX TELLES,58,0,0,0,0.00,0,0,0.01,35,83,2,0,1,0,0,0,0,0,0,0
25,ALEXANDER BAH,46,2,0,0,0.06,1,0,0.07,42,74,4,2,3,0,0,1,0,1,3,0
26,ALEXANDER DJIKU,96,0,0,0,0.00,0,0,0.00,27,78,1,2,3,0,0,0,0,0,0,0
27,ALEXIS MAC ALLISTER,233,2,2,1,0.33,4,0,0.21,132,92,2,2,18,0,0,2,0,2,3,33
28,ALEXIS VEGA,195,9,2,0,0.83,0,0,0.02,48,75,0,1,16,2,0,0,0,2,5,20
29,ALI ABDI,187,0,0,0,0.00,0,0,0.05,83,61,5,4,17,0,0,0,0,0,4,25
30,ALI AL BULAYHI,217,0,0,0,0.00,0,0,0.01,87,80,2,3,5,0,0,0,0,0,0,0
31,ALI AL HASSAN,45,1,0,0,0.07,0,0,0.00,5,80,1,0,1,0,0,0,0,0,0,0
32,ALI ASAD,26,0,0,0,0.00,0,0,0.01,23,91,0,0,1,0,0,0,0,0,1,100
33,ALI GHOLIZADEH,199,1,0,0,0.03,2,1,0.67,64,66,0,3,21,0,0,2,1,3,9,44
34,ALI KARIMI,97,0,0,0,0.00,0,0,0.02,42,79,3,3,6,0,0,0,0,0,0,0
35,ALI MAÂLOUL,90,0,0,0,0.00,0,0,0.12,37,73,1,0,5,0,0,0,0,0,0,0
36,ALIDU SEIDU,156,1,0,0,0.01,0,0,0.02,56,82,4,0,6,0,0,0,0,0,6,66
37,ALIREZA JAHANBAKHSH,58,3,0,0,0.19,0,0,0.01,14,71,1,1,1,2,0,0,0,2,1,100
38,ALISTAIR JOHNSTON,270,2,1,0,0.80,3,0,0.11,137,82,3,2,16,0,0,2,0,2,1,100
39,ALMOEZ ALI,226,3,1,0,0.36,0,0,0.01,42,71,0,1,6,1,0,0,0,1,3,0
40,ALPHONSO DAVIES,270,5,1,1,0.28,6,0,0.20,81,78,1,3,14,0,0,3,0,3,25,44
41,AMADOU ONANA,105,2,0,0,0.47,0,0,0.02,63,92,1,0,7,0,0,0,0,0,1,100
42,ANDREAS CHRISTENSEN,270,2,1,1,0.36,0,0,0.04,249,94,2,4,20,0,0,0,0,0,0,0
43,ANDREAS CORNELIUS,90,5,2,0,1.02,3,0,0.04,32,63,0,0,2,0,0,0,0,0,1,100
44,ANDREAS SKOV OLSEN,134,4,1,0,0.23,0,0,0.05,54,70,0,1,3,1,0,0,0,1,2,0
45,ANDREJ KRAMARIC,276,7,3,2,1.50,2,0,0.19,89,90,1,0,10,1,1,0,0,2,7,42
46,ANDRIJA ZIVKOVIC,213,1,0,0,0.06,4,2,0.82,70,83,3,3,11,1,0,2,1,4,1,0
47,ANDRÉ AYEW,200,3,1,1,0.36,0,0,0.01,30,77,1,0,6,0,0,0,0,0,2,0
48,ANDRÉ SILVA,25,0,0,0,0.00,2,0,0.01,10,80,0,0,0,0,0,1,0,1,1,0
49,ANDRÉS GUARDADO,42,0,0,0,0.00,0,0,0.00,14,64,2,0,5,0,0,0,0,0,0,0
50,ANGELO PRECIADO,265,4,0,0,0.07,4,1,0.24,90,77,5,6,10,0,0,0,0,0,4,0
51,ANIS BEN SLIMANE,150,1,1,0,0.11,0,0,0.02,35,71,1,1,5,0,0,0,0,0,1,0
52,ANSU FATI,44,0,0,0,0.00,0,0,0.05,27,89,1,0,1,0,0,0,0,0,2,0
53,ANTE BUDIMIR,43,1,0,0,0.18,1,0,0.01,5,40,1,0,0,0,0,0,0,0,0,0
54,ANTHONY CONTRERAS,127,0,0,0,0.00,1,0,0.02,22,55,2,1,4,0,0,0,0,0,0,0
55,ANTOINE GRIEZMANN,286,6,3,0,0.67,7,1,1.78,179,84,5,4,18,3,0,3,0,6,4,50
56,ANTOINE SEMENYO,19,1,0,0,0.05,0,0,0.00,2,50,0,0,0,0,0,0,0,0,0,0
57,ANTONEE ROBINSON,359,0,0,0,0.00,3,0,0.23,184,80,4,7,40,0,0,1,0,1,5,80
58,ANTONIO RÜDIGER,270,6,1,0,0.76,0,0,0.05,242,92,1,0,20,1,0,0,0,1,1,0
59,ANTONY,106,5,1,0,0.21,1,0,0.15,69,84,0,0,9,1,0,0,0,1,9,33
60,ANTÓNIO SILVA,90,0,0,0,0.00,0,0,0.00,60,97,1,1,4,0,0,0,0,0,0,0
61,AO TANAKA,173,1,1,1,0.96,1,0,0.38,64,69,1,3,9,0,0,0,0,0,1,0
62,ARDON JASHARI,1,0,0,0,0.00,0,0,0.00,6,83,0,0,1,0,0,0,0,0,1,0
63,ARKADIUSZ MILIK,100,1,0,0,0.25,1,0,0.01,29,66,0,0,3,0,0,0,0,0,1,100
64,ARTUR JEDRZEJCZYK,18,0,0,0,0.00,0,0,0.00,3,100,0,0,0,0,0,0,0,0,0,0
65,ASSIM MADIBO,154,0,0,0,0.00,1,0,0.01,67,82,3,2,15,0,0,1,0,1,0,0
66,ATIBA HUTCHINSON,161,2,0,0,0.12,0,0,0.04,108,89,1,1,10,0,0,0,0,0,1,100
67,AURÉLIEN TCHOUAMÉNI,323,4,1,0,0.27,4,0,0.15,306,95,1,8,21,0,0,2,0,2,0,0
68,AWER MABIL,22,0,0,0,0.00,0,0,0.00,13,69,0,1,2,0,0,0,0,0,1,0
69,AXEL DISASI,91,1,0,0,0.07,0,0,0.01,59,73,2,3,4,0,0,0,0,0,2,50
70,AXEL WITSEL,270,1,0,0,0.03,1,0,0.05,161,95,2,4,12,1,0,0,0,1,0,0
71,AYASE UEDA,45,0,0,0,0.00,1,0,0.01,12,57,0,0,3,0,0,0,0,0,0,0
72,AYMERIC LAPORTE,300,1,0,0,0.03,1,0,0.09,424,94,0,3,17,0,0,1,0,1,0,0
73,AZIZ BEHICH,360,2,0,0,0.12,0,0,0.03,151,76,3,3,22,0,0,0,0,0,14,57
74,AZZEDINE OUNAHI,356,1,0,0,0.03,3,0,0.24,133,80,7,4,22,0,0,2,0,2,7,57
75,AÏSSA LAÏDOUNI,245,2,0,0,0.13,4,1,0.21,115,81,3,4,25,0,0,1,0,1,4,25
76,BADR BENOUN,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0
77,BAILEY WRIGHT,16,0,0,0,0.00,0,0,0.00,3,33,0,0,0,0,0,0,0,0,0,0
78,BAMBA DIENG,97,4,1,1,0.50,2,0,0.01,14,56,1,0,4,0,0,0,0,0,2,0
79,BARTOSZ BERESZYNSKI,342,0,0,0,0.00,0,0,0.07,108,77,2,2,15,0,0,0,0,0,9,11
80,BASSAM AL RAWI,90,0,0,0,0.00,1,0,0.17,53,81,0,0,3,0,0,1,0,1,1,100
81,BEN DAVIES,239,3,2,0,0.35,0,0,0.03,135,77,2,1,20,0,0,0,0,0,3,66
82,BENJAMIN PAVARD,89,0,0,0,0.00,0,0,0.02,83,92,0,1,5,0,0,0,0,0,0,0
83,BERNARDO SILVA,268,0,0,0,0.00,4,0,0.22,174,89,1,1,21,0,0,3,0,3,5,20
84,BORNA BARISIC,120,1,0,0,0.02,1,0,0.21,45,80,1,0,3,0,0,0,0,0,0,0
85,BORNA SOSA,270,2,0,0,0.07,2,0,0.47,153,85,3,2,8,1,0,1,0,2,4,50
86,BOUALEM KHOUKHI,270,0,0,0,0.00,0,0,0.25,184,86,2,3,16,0,0,0,0,0,3,0
87,BOULAYE DIA,320,8,3,1,0.74,1,0,0.08,50,76,0,1,7,0,0,0,0,0,4,25
88,BRANDON AGUILERA,88,0,0,0,0.00,0,0,0.00,34,76,0,1,8,0,0,0,0,0,3,66
89,BREEL EMBOLO,326,6,3,2,2.29,2,0,0.06,53,72,0,0,6,1,0,0,0,1,7,28
90,BREMER,108,1,0,0,0.17,0,0,0.01,81,95,1,1,9,0,0,0,0,0,0,0
91,BRENDEN AARONSON,105,1,0,0,0.07,3,0,0.11,46,87,2,1,9,0,0,1,0,1,11,18
92,BRENNAN JOHNSON,89,3,1,0,0.21,0,0,0.07,15,60,0,0,3,2,0,0,0,2,5,0
93,BRUNO FERNANDES,267,5,3,1,0.23,4,2,0.66,139,88,3,1,18,1,1,2,1,5,3,0
94,BRUNO GUIMARÃES,67,5,2,0,0.70,0,0,0.10,49,84,0,0,6,0,0,0,0,0,2,100
95,BRUNO PETKOVIC,118,0,0,0,0.00,2,0,0.06,45,49,2,0,3,0,0,2,0,2,1,0
96,BRYAN MBEUMO,226,2,2,0,0.21,4,0,0.09,72,63,0,1,7,0,0,2,0,2,8,12
97,BRYAN OVIEDO,261,0,0,0,0.00,0,0,0.03,75,76,5,3,14,0,0,0,0,0,4,0
98,BRYAN RUIZ,29,0,0,0,0.00,0,0,0.00,9,78,1,0,1,0,0,0,0,0,1,100
99,BUKAYO SAKA,214,6,4,3,0.58,3,0,0.42,75,80,3,2,9,2,1,1,0,4,7,14
100,CALLUM WILSON,46,0,0,0,0.00,3,1,0.45,9,89,0,0,3,0,0,2,1,3,1,0
101,CAMERON,CARTER-VICKERS,90,0,0,0,0.00,0,0,0.01,54,85,0,0,4,0,0,0,0,0,0
102,CARLOS GRUEZO,45,0,0,0,0.00,0,0,0.00,15,100,2,0,2,0,0,0,0,0,0,0
103,CARLOS MARTÍNEZ,45,0,0,0,0.00,0,0,0.00,9,67,1,1,3,0,0,0,0,0,0,0
104,CARLOS RODRÍGUEZ,32,0,0,0,0.00,0,0,0.01,28,75,0,0,6,0,0,0,0,0,2,100
105,CARLOS SOLER,90,4,1,1,0.54,0,0,0.05,78,96,0,0,3,0,0,0,0,0,2,50
106,CASEMIRO,270,6,2,1,0.22,1,0,0.28,182,84,3,6,18,1,0,0,0,1,1,0
107,CELSO BORGES,251,0,0,0,0.00,1,0,0.02,110,85,1,4,17,0,0,0,0,0,2,100
108,CHARLES DE KETELAERE,15,0,0,0,0.00,0,0,0.00,4,75,0,0,3,0,0,0,0,0,0,0
109,CHEIKHOU KOUYATÉ,73,0,0,0,0.00,1,0,0.02,20,85,0,2,5,0,0,0,0,0,1,100
110,CHO,GUE-SUNG,275,9,5,2,1.07,1,0,0.09,55,60,0,0,4,0,0,0,0,0,5
111,CHO,YU-MIN,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0
112,CHRIS MEPHAM,270,0,0,0,0.00,2,0,0.16,167,81,6,1,8,0,0,0,0,0,0,0
113,CHRISTIAN BASSOGOG,23,0,0,0,0.00,0,0,0.04,7,71,0,1,2,0,0,0,0,0,4,50
114,CHRISTIAN ERIKSEN,270,4,1,0,0.18,3,0,0.25,190,90,0,0,30,1,0,0,0,1,4,0
115,CHRISTIAN FASSNACHT,7,1,1,0,0.23,0,0,0.01,10,70,0,0,2,1,0,0,0,1,2,100
116,CHRISTIAN NØRGAARD,5,0,0,0,0.00,0,0,0.01,15,93,0,0,2,0,0,0,0,0,0,0
117,CHRISTIAN PULISIC,315,9,5,1,1.06,6,2,1.03,107,73,0,0,11,3,0,4,1,8,15,26
118,CHRISTOPHER WOOH,90,1,0,0,0.04,0,0,0.00,27,85,0,1,0,0,0,0,0,0,0,0
119,CODY GAKPO,340,5,3,3,0.31,5,0,0.25,85,75,2,2,12,2,1,2,0,5,6,83
120,COLLINS FAI,270,1,0,0,0.02,2,0,0.19,105,72,2,4,21,1,0,0,0,1,2,0
121,CONNOR ROBERTS,201,0,0,0,0.00,1,0,0.18,92,82,3,1,8,0,0,0,0,0,0,0
122,CRAIG GOODWIN,235,2,1,1,0.28,3,0,0.18,73,70,3,0,14,0,0,0,0,0,0,0
123,CRISTIAN ROMERO,260,0,0,0,0.00,0,0,0.02,219,91,1,1,10,0,0,0,0,0,1,100
124,CRISTIANO RONALDO,252,9,2,0,0.79,3,0,0.09,75,75,0,0,6,1,0,0,0,1,4,0
125,CYLE LARIN,137,3,1,0,0.24,2,0,0.26,26,73,0,0,4,0,0,1,0,1,4,25
126,CÉSAR AZPILICUETA,135,0,0,0,0.00,4,1,0.52,159,96,0,1,5,0,0,2,0,2,0,0
127,CÉSAR MONTES,270,1,0,0,0.18,0,0,0.53,192,81,3,2,13,0,0,0,0,0,2,100
128,DAICHI KAMADA,324,6,1,0,0.65,0,0,0.14,92,82,3,0,10,1,0,0,0,1,4,75
129,DAIZEN MAEDA,183,2,1,1,0.48,0,0,0.05,15,40,2,3,4,0,0,0,0,0,1,0
130,DALEY BLIND,360,5,2,1,0.38,2,1,0.39,238,85,7,3,21,0,0,1,1,2,2,50
131,DAMIAN SZYMANSKI,28,0,0,0,0.00,0,0,0.00,8,100,0,1,0,0,0,0,0,0,0,0
132,DAN JAMES,154,0,0,0,0.03,1,0,0.02,28,71,1,0,4,0,0,1,0,1,4,25
133,DANI ALVES,117,3,0,0,0.19,0,0,0.07,77,88,4,2,9,0,0,0,0,0,2,50
134,DANI OLMO,368,12,6,1,1.40,5,1,0.43,175,85,3,1,15,3,0,2,0,5,20,20
135,DANIEL AMARTEY,270,1,0,0,0.23,3,0,0.03,136,90,4,3,15,0,0,2,0,2,1,100
136,DANIEL CARVAJAL,135,0,0,0,0.00,0,0,0.04,109,88,1,2,9,0,0,0,0,0,0,0
137,DANIEL CHACÓN,1,0,0,0,0.00,0,0,0.00,1,100,0,0,0,0,0,0,0,0,0,0
138,KYEREH,DANIEL-KOFI,31,0,0,0,0.00,0,0,0.01,18,100,2,0,3,0,0,0,0,0,2
139,DANILO,162,1,0,0,0.01,0,0,0.15,141,88,0,1,11,0,0,0,0,0,1,100
140,DANILO PEREIRA,90,0,0,0,0.00,0,0,0.01,76,87,2,3,4,0,0,0,0,0,1,100
141,DARKO LAZOVIC,24,1,0,0,0.01,0,0,0.00,11,64,0,0,0,0,0,0,0,0,0,0
142,DARWIN NÚÑEZ,242,3,2,0,0.38,1,0,0.06,49,61,2,0,6,1,0,1,0,2,5,0
143,DAVID RAUM,244,0,0,0,0.00,6,1,0.27,138,88,3,7,12,0,0,1,1,2,4,50
144,DAVID WOTHERSPOON,14,0,0,0,0.00,0,0,0.00,6,67,0,0,3,0,0,0,0,0,1,100
145,DAVY KLAASSEN,191,2,1,1,0.23,4,2,0.06,75,79,2,1,14,0,0,0,0,0,1,0
146,DAYOT UPAMECANO,270,1,0,0,0.05,1,0,0.06,233,94,6,5,21,0,0,1,0,1,0,0
147,DEANDRE YEDLIN,31,0,0,0,0.00,0,0,0.01,19,79,1,0,1,0,0,0,0,0,0,0
148,DECLAN RICE,328,0,0,0,0.00,0,0,0.08,256,94,3,8,22,0,0,0,0,0,3,0
149,DEJAN LOVREN,390,1,1,0,0.11,1,1,0.06,285,87,2,5,16,0,0,1,1,2,0,0
150,DENIS ODOI,12,0,0,0,0.00,0,0,0.00,1,100,0,0,0,0,0,0,0,0,0,0
151,DENIS ZAKARIA,57,1,0,0,0.05,0,0,0.02,21,86,0,3,5,0,0,0,0,0,2,0
152,DENZEL DUMFRIES,360,1,1,1,0.38,2,2,0.38,131,71,3,7,14,0,0,1,1,2,7,0
153,DIEGO GODÍN,152,1,0,0,0.06,0,0,0.01,101,84,0,1,6,0,0,0,0,0,0,0
154,DIOGO DALOT,180,1,1,0,0.04,3,1,0.36,85,81,6,1,9,1,0,1,1,3,3,33
155,DJIBRIL SOW,269,2,0,0,0.16,3,1,0.17,93,87,1,2,9,1,0,1,0,2,2,0
156,DJORKAEFF REASCO,26,0,0,0,0.00,0,0,0.00,2,100,0,0,1,0,0,0,0,0,0,0
157,DRIES MERTENS,75,3,1,0,0.80,2,0,0.05,28,71,0,0,2,1,0,1,0,2,1,100
158,DUSAN TADIC,258,1,0,0,0.08,6,1,0.76,102,78,2,1,10,0,0,2,1,3,6,50
159,DUSAN VLAHOVIC,79,3,3,1,0.81,0,0,0.00,11,55,0,0,3,0,0,0,0,0,1,0
160,DYLAN BRONN,163,1,0,0,0.07,0,0,0.01,89,75,2,0,7,0,0,0,0,0,1,0
161,EDEN HAZARD,125,1,1,0,0.05,1,0,0.05,57,81,0,1,7,1,0,0,0,1,10,50
162,EDIMILSON FERNANDES,143,1,0,0,0.03,3,0,0.04,63,83,1,2,14,1,0,0,0,1,1,0
163,EDINSON CAVANI,123,3,0,0,0.29,5,0,0.16,36,72,0,0,6,0,0,1,0,1,1,100
164,EDSON ÁLVAREZ,176,1,1,0,0.02,1,0,0.37,111,75,2,4,10,0,0,0,0,0,1,100
165,EDUARDO CAMAVINGA,90,0,0,0,0.00,1,0,0.05,65,85,6,3,9,0,0,0,0,0,2,0
166,EHSAN HAJISAFI,239,1,0,0,0.16,2,0,0.28,78,69,3,2,10,0,0,0,0,0,2,0
167,ELLYES SKHIRI,270,2,0,0,0.07,3,0,0.06,120,87,3,7,18,0,0,1,0,1,3,33
168,ENNER VALENCIA,256,8,4,2,1.48,3,0,0.23,51,69,0,1,8,1,0,1,0,2,8,25
169,ENZO EBOSSE,90,0,0,0,0.00,0,0,0.00,33,91,2,0,1,0,0,0,0,0,0,0
170,ENZO FERNÁNDEZ,233,3,1,1,0.11,2,1,0.24,252,89,5,3,17,0,0,2,1,3,1,100
171,ERAY CÖMERT,46,0,0,0,0.00,0,0,0.01,41,90,0,2,4,0,0,0,0,0,1,0
172,ERIC,CHOUPO-MOTING,254,3,2,1,0.83,2,0,0.08,59,63,2,1,8,1,0,1,0,2,8
173,ERIC DIER,33,0,0,0,0.00,0,0,0.00,40,98,1,0,3,0,0,0,0,0,0,0
174,ETHAN AMPADU,256,1,0,0,0.04,2,0,0.06,132,75,3,4,16,0,0,1,0,1,3,66
175,EXEQUIEL PALACIOS,31,1,0,0,0.07,1,0,0.04,11,91,0,1,4,0,0,1,0,1,0,0
176,FABIAN FREI,23,0,0,0,0.00,0,0,0.00,14,64,1,1,2,0,0,0,0,0,0,0
177,FABIAN RIEDER,68,0,0,0,0.00,1,0,0.01,24,50,2,0,4,0,0,0,0,0,1,100
178,FABIAN SCHÄR,135,2,0,0,0.14,0,0,0.01,74,78,1,2,7,0,0,0,0,0,0,0
179,FABINHO,90,0,0,0,0.00,0,0,0.02,54,89,2,1,9,0,0,0,0,0,0,0
180,FACUNDO PELLISTRI,182,1,0,0,0.17,3,0,0.17,43,72,1,0,9,0,0,1,0,1,6,0
181,FAMARA DIÉDHIOU,92,3,1,1,0.20,1,0,0.11,14,71,0,0,3,0,0,0,0,0,1,0
182,FEDERICO VALVERDE,270,7,1,0,0.17,2,0,0.29,173,87,4,5,19,0,0,1,0,1,4,25
183,FERAS AL BRIKAN,269,2,0,0,0.11,1,1,0.08,60,70,3,2,7,1,0,0,0,1,7,14
184,FERJANI SASSI,47,1,0,0,0.02,0,0,0.02,33,76,0,1,5,0,0,0,0,0,3,66
185,FERRAN TORRES,219,3,2,1,0.23,1,0,0.16,76,76,0,0,8,0,0,0,0,0,13,7
186,FILIP DJURICIC,13,0,0,0,0.00,1,0,0.00,5,80,0,0,0,0,0,0,0,0,0,0
187,FILIP KOSTIC,179,1,0,0,0.02,1,0,0.15,75,67,3,0,12,1,0,0,0,1,1,0
188,FILIP MLADENOVIC,66,1,0,0,0.02,0,0,0.00,17,82,0,0,4,0,0,0,0,0,2,0
189,FODÉ,BALLO-TOURÉ,6,0,0,0,0.00,0,0,0.00,5,80,0,0,0,0,0,0,0,0,1
190,FRAN KARACIC,93,3,0,0,0.18,1,0,0.11,38,61,1,2,9,0,0,1,0,1,0,0
191,FRANCISCO CALVO,180,1,0,0,0.01,0,0,0.01,93,82,4,2,12,0,0,0,0,0,2,100
192,FRANK ANGUISSA,261,1,1,0,0.06,0,0,0.08,125,88,0,5,16,0,0,0,0,0,5,80
193,FRED,128,3,1,0,0.33,4,0,0.25,78,85,2,0,6,1,0,1,0,2,0,0
194,FRENKIE DE JONG,356,2,1,1,0.88,4,1,0.35,264,89,5,5,26,1,0,0,0,1,6,50
195,FÉLIX TORRES,270,1,0,0,0.12,0,0,0.01,196,81,2,4,17,0,0,0,0,0,1,0
196,GABRIEL JESUS,92,2,1,0,0.36,4,0,0.07,25,80,1,2,2,0,0,0,0,0,2,50
197,GABRIEL MARTINELLI,111,4,3,0,0.52,3,0,0.33,36,81,1,0,5,2,0,1,0,3,11,27
198,GARANG KUOL,35,1,1,0,0.38,0,0,0.00,5,60,0,1,0,0,0,0,0,0,2,0
199,GARETH BALE,225,1,2,0,0.02,2,0,0.22,47,64,1,1,9,0,0,1,0,1,3,33
200,GAVI,287,1,1,1,0.14,1,0,0.23,142,87,4,1,7,0,0,1,0,1,8,37
201,GAËL ONDOUA,45,0,0,0,0.00,0,0,0.01,19,89,1,2,2,0,0,0,0,0,0,0
202,NKOUDOU,GEORGES-KÉVIN,25,1,1,0,0.04,0,0,0.01,9,89,0,0,3,0,0,0,0,0,2
203,GERMÁN PEZZELLA,11,0,0,0,0.00,0,0,0.00,18,100,0,0,1,0,0,0,0,0,0,0
204,GERSON TORRES,65,1,0,0,0.01,0,0,0.00,14,100,0,0,4,0,0,0,0,0,2,0
205,GHAYLEN CHAALALI,16,0,0,0,0.00,0,0,0.00,4,75,0,2,2,0,0,0,0,0,0,0
206,GIDEON MENSAH,88,0,0,0,0.00,1,0,0.14,38,79,1,2,4,0,0,0,0,0,0,0
207,GIORGIAN DE ARRASCAETA,108,3,3,2,1.21,2,0,0.49,45,67,1,2,7,0,0,0,0,0,1,0
208,GIOVANNI REYNA,52,2,0,0,0.06,2,0,0.16,32,69,0,0,1,1,0,1,0,2,0,0
209,GONZALO MONTIEL,73,0,0,0,0.00,0,0,0.02,46,91,1,1,2,0,0,0,0,0,1,0
210,GONZALO PLATA,269,2,1,0,0.13,1,0,0.05,79,86,2,2,10,0,0,0,0,0,13,30
211,GONÇALO RAMOS,84,6,5,3,1.47,2,1,0.09,21,81,0,0,2,1,1,0,0,2,1,0
212,GRANIT XHAKA,360,6,3,0,0.32,2,0,0.15,229,88,4,2,21,2,0,0,0,2,2,50
213,GRZEGORZ KRYCHOWIAK,334,1,0,0,0.02,3,0,0.06,122,74,4,5,23,1,0,1,0,2,3,33
214,GUIDO RODRÍGUEZ,57,0,0,0,0.00,0,0,0.01,62,84,0,0,2,0,0,0,0,0,0,0
215,GUILLERMO VARELA,182,0,0,0,0.00,1,0,0.04,65,69,2,3,8,0,0,1,0,1,3,0
216,HAITHAM ASIRI,1,0,0,0,0.00,0,0,0.00,2,50,0,0,0,0,0,0,0,0,0,0
217,HAJI WRIGHT,135,6,3,1,0.53,1,0,0.03,23,74,0,0,4,2,0,0,0,2,1,0
218,HAKIM ZIYECH,376,6,2,1,0.27,3,1,0.26,116,72,5,5,18,1,0,2,0,3,17,41
219,HANNIBAL MEJBRI,10,0,0,0,0.00,0,0,0.00,2,100,0,1,1,0,0,0,0,0,0,0
220,HARIS SEFEROVIC,68,1,0,0,0.19,1,0,0.01,11,73,0,0,1,1,0,1,0,2,0,0
221,HARRY KANE,314,7,2,1,0.90,5,3,0.65,68,69,1,0,12,2,0,2,1,5,9,44
222,HARRY MAGUIRE,340,4,1,0,0.24,0,0,0.07,301,88,3,3,14,0,0,0,0,0,2,100
223,HARRY SOUTTAR,360,1,0,0,0.08,1,0,0.05,163,83,0,6,17,0,0,0,0,0,0,0
224,HARRY WILSON,160,2,0,0,0.10,1,0,0.04,54,81,2,1,10,0,0,1,0,1,1,0
225,HASSAN AL HAYDOS,209,1,1,0,0.01,2,0,0.49,73,82,1,2,12,0,0,0,0,0,6,33
226,HASSAN TAMBAKTI,180,0,0,0,0.00,0,0,0.01,49,71,2,3,9,0,0,0,0,0,0,0
227,HATTAN BAHBRI,3,0,0,0,0.00,1,1,0.05,7,56,0,0,1,0,0,0,0,0,0,0
228,HENRY MARTÍN,148,4,2,1,0.92,5,0,0.21,16,69,1,2,4,0,0,0,0,0,1,100
229,HIDEMASA MORITA,285,3,1,0,0.16,2,0,0.08,151,83,0,3,21,1,0,0,0,1,3,0
230,HIROKI ITO,45,0,0,0,0.00,1,0,0.02,61,92,0,0,2,0,0,0,0,0,0,0
231,HIROKI SAKAI,119,1,0,0,0.53,1,0,0.09,30,60,4,1,6,0,0,0,0,0,2,0
232,HIRVING LOZANO,253,6,3,0,0.19,7,0,0.80,46,70,2,0,14,2,0,5,0,7,10,50
233,HOMAM AHMED,263,0,0,0,0.00,1,0,0.03,76,71,2,2,14,0,0,0,0,0,5,60
234,HONG CHUL,45,0,0,0,0.00,1,0,0.02,16,94,0,1,2,0,0,0,0,0,1,0
235,HOSSEIN KANANI,45,0,0,0,0.00,0,0,0.00,10,70,0,1,1,0,0,0,0,0,0,0
236,HWANG,HEE-CHAN,114,6,5,1,0.92,1,0,0.07,53,81,1,0,7,2,0,0,0,2,10
237,HWANG,IN-BEOM,335,6,1,0,0.23,3,0,0.19,236,80,3,3,22,1,0,1,0,2,5
